name,ear_1_connection_1_cid,ear_1_connection_1_interface,ear_1_connection_2_cid,ear_1_connection_2_interface,ear_1_connection_3_cid,ear_1_connection_3_interface,ear_1_connection_aggregate,ear_1_connection_aggregate_cid,ear_1_optic,ear_1_router_hostname,ear_2_connection_1_cid,ear_2_connection_1_interface,ear_2_connection_2_cid,ear_2_connection_2_interface,ear_2_connection_3_cid,ear_2_connection_3_interface,ear_2_connection_aggregate,ear_2_connection_aggregate_cid,ear_2_optic,ear_2_router_hostname,priv_1_connection_1_cid,priv_1_connection_1_interface,priv_1_connection_2_cid,priv_1_connection_2_interface,priv_1_connection_aggregate,priv_1_connection_aggregate_cid,priv_1_optic,priv_1_router_hostname,priv_2_connection_1_cid,priv_2_connection_1_interface,priv_2_connection_2_cid,priv_2_connection_2_interface,priv_2_connection_aggregate,priv_2_connection_aggregate_cid,priv_2_optic,priv_2_router_hostname,var_1_connection_1_cid,var_1_connection_1_interface,var_1_connection_2_cid,var_1_connection_2_interface,var_1_connection_aggregate,var_1_connection_aggregate_cid,var_1_optic,var_1_router_hostname,var_2_connection_1_cid,var_2_connection_1_interface,var_2_connection_2_cid,var_2_connection_2_interface,var_2_connection_aggregate,var_2_connection_aggregate_cid,var_2_optic,var_2_router_hostname
LAB1N,,,,,,,45,,,100.80.15.102,,,,,,,45,,,,,6/1/2002,,,12,,CW4,SLC2-PRIV-21,00NW4F/10GE/SLKDUTTX/SLKDUTUY,8/1/2005,,,12,,CW4,SLC2-PRIV-22,00NW46/100G/SLKDUTTX/SLKDUTTX,et-0/1/5,,,40,,CW4,VAR1.SLC5,00NW4A/100G/SLKDUTTX/SLKDUTTX,et-0/1/5,,,40,,CW4,VAR2.SLC5
LAB1J,,,,,,,45,,,100.80.16.139,,,,,,,45,,,,10GigE to PITEPADTQS001 xe-0/0/32; ETH10GBN-24117470; CORE#182414705; ; red edge compute,7/1/2003,,,5,1x10GigE to PITEPADTQS001 ae300; ETH10GBN-24117470.01; CORE#182414705; ; red edge compute,LR4,PIT-PRIV-20,,,,,,,LR4,,00MITL/100G/PITEPADT/PITEPADT,et-0/1/5,,,5,00N0SW/GE1L/PITEPADT/PITEPADT,LR4,VAR1.PIT1.LEVEL3.COM,00MITP/100G/PITEPADT/PITEPADT,et-0/1/5,,,5,00N0T4/GE1L/PITEPADT/PITEPADT,LR4,VAR2.PIT1.LEVEL3.COM
